algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
EIGER,2,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,1454.912,2.12,1.98,3.35,7.36,2.39
EIGER,4,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,2191.296,2.82,2.62,4.59,10.88,4.75
EIGER,8,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,2895.712,4.27,3.99,6.80,15.29,9.11
EIGER,16,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,3497.314,7.07,6.67,10.68,25.39,16.39
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,3629.424,13.64,13.17,17.83,61.34,39.18
EIGER,64,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,3521.09,28.13,27.92,30.01,28.13,42.82
EIGER,128,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,3230.152,61.41,62.21,54.28,61.41,61.41
EIGER,256,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,2772.768,143.11,146.63,111.26,143.11,143.11
EIGER,512,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,2301.284,346.96,356.84,258.60,346.96,346.96
EIGER_PORT,2,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,1340.412,2.30,2.14,3.70,9.31,2.94
EIGER_PORT,4,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,2159.6279999999997,2.86,2.64,4.82,12.20,4.50
EIGER_PORT,8,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,2952.028,4.19,3.86,7.18,14.87,8.51
EIGER_PORT,16,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,3782.2839999999997,6.54,5.99,11.56,21.83,12.80
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,4359.39,11.36,10.34,20.57,36.92,22.30
EIGER_PORT,64,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,4773.482,20.75,18.92,37.26,59.55,40.67
EIGER_PORT,128,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,5219.5160000000005,37.95,34.56,68.54,37.95,67.72
EIGER_PORT,256,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,5727.072,69.58,63.36,125.38,69.58,69.58
EIGER_PORT,512,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,5974.318,133.37,121.61,239.61,133.37,133.37
EIGER_PORT_PLUS_PLUS,2,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,1396.786,2.21,2.20,2.33,7.54,2.90
EIGER_PORT_PLUS_PLUS,4,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,2195.2619999999997,2.82,2.81,2.95,10.94,5.14
EIGER_PORT_PLUS_PLUS,8,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,3047.202,4.06,4.05,4.12,14.63,8.50
EIGER_PORT_PLUS_PLUS,16,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,3882.078,6.38,6.37,6.45,22.61,12.29
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,4475.368,11.06,11.06,11.13,37.42,22.02
EIGER_PORT_PLUS_PLUS,64,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,4912.212,20.16,20.15,20.20,65.29,40.52
EIGER_PORT_PLUS_PLUS,128,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,5415.004,36.58,36.56,36.71,36.58,69.03
EIGER_PORT_PLUS_PLUS,256,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,5864.348,67.58,67.56,67.73,67.58,67.58
EIGER_PORT_PLUS_PLUS,512,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,6127.036,129.30,129.26,129.65,129.30,129.30
