algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
READ_ATOMIC_CONST_ORT,100,0.95,1,16,5,5,1000000,zipfian,0.99,4050.71875,7.45,7.44,7.55,49.91,10.00
READ_ATOMIC_CONST_ORT,250,0.95,1,16,5,5,1000000,zipfian,0.99,4639.33375,16.27,16.27,16.34,84.03,27.00
READ_ATOMIC_CONST_ORT,500,0.95,1,16,5,5,1000000,zipfian,0.99,4621.88625,32.69,32.68,32.78,32.69,60.23
READ_ATOMIC_CONST_ORT,750,0.95,1,16,5,5,1000000,zipfian,0.99,4605.285625,49.87,49.86,50.00,49.87,84.02
READ_ATOMIC_CONST_ORT,1000,0.95,1,16,5,5,1000000,zipfian,0.99,4625.566875,67.62,67.61,67.75,67.62,67.62
READ_ATOMIC_FASTOPW,100,0.95,1,16,5,5,1000000,zipfian,0.99,3084.9,9.78,9.79,9.66,86.19,13.17
READ_ATOMIC_FASTOPW,250,0.95,1,16,5,5,1000000,zipfian,0.99,3677.564375,20.52,20.53,20.49,20.52,34.77
READ_ATOMIC_FASTOPW,500,0.95,1,16,5,5,1000000,zipfian,0.99,3993.821875,37.81,37.83,37.42,37.81,63.26
READ_ATOMIC_FASTOPW,750,0.95,1,16,5,5,1000000,zipfian,0.99,4167.93,54.34,54.35,54.09,54.34,96.54
READ_ATOMIC_FASTOPW,1000,0.95,1,16,5,5,1000000,zipfian,0.99,4230.884375,71.42,71.43,71.19,71.42,71.42
READ_ATOMIC_LIST,100,0.95,1,16,5,5,1000000,zipfian,0.99,3552.070625,8.50,8.15,15.25,67.64,11.62
READ_ATOMIC_LIST,250,0.95,1,16,5,5,1000000,zipfian,0.99,3899.71625,19.36,18.55,34.79,86.87,35.39
READ_ATOMIC_LIST,500,0.95,1,16,5,5,1000000,zipfian,0.99,3703.02125,40.78,39.07,73.27,40.78,69.59
READ_ATOMIC_LIST,750,0.95,1,16,5,5,1000000,zipfian,0.99,3700.5025,61.18,58.61,110.08,61.18,61.18
READ_ATOMIC_LIST,1000,0.95,1,16,5,5,1000000,zipfian,0.99,3704.411875,81.58,78.18,146.16,81.58,81.58
READ_ATOMIC_LORA,100,0.95,1,16,5,5,1000000,zipfian,0.99,4091.95625,7.38,7.34,8.26,51.54,10.48
READ_ATOMIC_LORA,250,0.95,1,16,5,5,1000000,zipfian,0.99,4573.9275,16.50,16.43,17.98,72.63,29.26
READ_ATOMIC_LORA,500,0.95,1,16,5,5,1000000,zipfian,0.99,4420.956875,34.17,34.02,36.95,34.17,61.02
READ_ATOMIC_LORA,750,0.95,1,16,5,5,1000000,zipfian,0.99,4289.88875,52.81,52.57,57.47,52.81,92.28
READ_ATOMIC_LORA,1000,0.95,1,16,5,5,1000000,zipfian,0.99,4292.356875,70.40,70.07,76.58,70.40,70.40
READ_ATOMIC_STAMP,100,0.95,1,16,5,5,1000000,zipfian,0.99,2548.718125,11.85,11.85,11.84,59.25,18.59
READ_ATOMIC_STAMP,250,0.95,1,16,5,5,1000000,zipfian,0.99,2618.453125,28.85,28.86,28.78,28.85,53.01
READ_ATOMIC_STAMP,500,0.95,1,16,5,5,1000000,zipfian,0.99,2586.623125,58.43,58.43,58.51,58.43,58.43
READ_ATOMIC_STAMP,750,0.95,1,16,5,5,1000000,zipfian,0.99,2472.223125,91.74,91.73,91.99,91.74,91.74
READ_ATOMIC_STAMP,1000,0.95,1,16,5,5,1000000,zipfian,0.99,2451.134375,123.39,123.39,123.40,123.39,123.39
